old_file	new_location
2026-09-11-deepseek-v4-moe-offload.md	2026-09-11.md#deepseek-v4-moe-offload
2026-09-12-bmc-watchdog-reset-loop.md	2026-09-12.md#bmc-watchdog-reset-loop
2026-09-12-deepseek-v41-first-run.md	2026-09-12.md#deepseek-v41-first-run
2026-09-12-nvme-sustained-write.md	2026-09-12.md#nvme-sustained-write
2026-09-12-offline-after-a-move-and-an-ssd.md	2026-09-12.md#offline-after-a-move-and-an-ssd
2026-09-13-deepseek-v41-on-ik-llama.md	2026-09-13.md#deepseek-v41-on-ik-llama
2026-09-13-engram-q8-repack.md	2026-09-13.md#engram-q8-repack
2026-09-14-air-cooler-swap.md	2026-09-14.md#air-cooler-swap
2026-09-14-memory-clock-3600.md	2026-09-14.md#memory-clock-3600
2026-09-14-v41-gap-closed-prefill-and-queue.md	2026-09-14.md#v41-gap-closed-prefill-and-queue
2026-09-15-a-model-that-fits-one-card.md	2026-09-15.md#a-model-that-fits-one-card
2026-09-15-clock-cap-removed.md	2026-09-15.md#clock-cap-removed
2026-09-15-exl3-serve-and-tabbyapi-timings.md	2026-09-15.md#exl3-serve-and-tabbyapi-timings
2026-09-15-glm-5.3-flash-first-run.md	2026-09-15.md#glm-5.3-flash-first-run
2026-09-15-prefill-ubatch-ik-vs-mainline.md	2026-09-15.md#prefill-ubatch-ik-vs-mainline
2026-09-15-serving-knob-sweep.md	2026-09-15.md#serving-knob-sweep
2026-09-15-splitting-the-v41-port.md	2026-09-15.md#splitting-the-v41-port
2026-09-16-diffusion-first-run-and-three-regimes.md	2026-09-16.md#diffusion-first-run-and-three-regimes
2026-09-16-echo-ingredients-and-the-3090-alone.md	2026-09-16.md#echo-ingredients-and-the-3090-alone
2026-09-16-engram-and-concurrency.md	2026-09-16.md#engram-and-concurrency
2026-09-16-every-kept-model-re-verified.md	2026-09-16.md#every-kept-model-re-verified
2026-09-16-qwen38-flash-next-and-coder-next.md	2026-09-16.md#qwen38-flash-next-and-coder-next
2026-09-16-the-overclock-and-the-fabric.md	2026-09-16.md#the-overclock-and-the-fabric
2026-09-16-two-giants-is-a-capability-boundary.md	2026-09-16.md#two-giants-is-a-capability-boundary
2026-09-16-what-guidance-was-not-for.md	2026-09-16.md#what-guidance-was-not-for
2026-09-16-what-the-3090-is-worth.md	2026-09-16.md#what-the-3090-is-worth
2026-09-17-a-rust-engine-on-the-same-card.md	2026-09-17.md#a-rust-engine-on-the-same-card
2026-09-17-b-where-the-four-stream-gap-actually-is.md	2026-09-17.md#b-where-the-four-stream-gap-actually-is
2026-09-17-c-what-mistral-rs-can-and-cannot-offload.md	2026-09-17.md#c-what-mistral-rs-can-and-cannot-offload
2026-09-17-d-what-offloading-costs-each-engine.md	2026-09-17.md#d-what-offloading-costs-each-engine
2026-09-17-the-3090-comes-out.md	2026-09-17.md#the-3090-comes-out
2026-09-17-where-the-prompt-cache-breaks.md	2026-09-17.md#where-the-prompt-cache-breaks
2026-09-18-b-the-fault-reproduced.md	2026-09-18.md#b-the-fault-reproduced
2026-09-18-c-a-local-model-translates-the-log.md	2026-09-18.md#c-a-local-model-translates-the-log
2026-09-18-the-3090-goes-back-in.md	2026-09-18.md#the-3090-goes-back-in
2026-09-19-a-first-rust-kernel-two-arms.md	2026-09-19.md#a-first-rust-kernel-two-arms
2026-09-19-b-delimiters-and-cold-prefill.md	2026-09-19.md#b-delimiters-and-cold-prefill
2026-09-19-c-the-first-forward.md	2026-09-19.md#c-the-first-forward
2026-09-19-d-the-cache.md	2026-09-19.md#d-the-cache
2026-09-19-e-where-the-time-goes.md	2026-09-19.md#e-where-the-time-goes
2026-09-19-f-fifteen-times.md	2026-09-19.md#f-fifteen-times
2026-09-19-g-the-fused-kernel-runs.md	2026-09-19.md#g-the-fused-kernel-runs
2026-09-19-h-dissecting-the-join.md	2026-09-19.md#h-dissecting-the-join
2026-09-19-i-folding-the-dispatches.md	2026-09-19.md#i-folding-the-dispatches
2026-09-19-j-the-seventh-fold.md	2026-09-19.md#j-the-seventh-fold
2026-09-19-verification-does-not-amortise.md	2026-09-19.md#verification-does-not-amortise
2026-09-20-a-the-attribute.md	2026-09-20.md#a-the-attribute
2026-09-20-b-the-thermal-section.md	2026-09-20.md#b-the-thermal-section
2026-09-20-c-flat-across-context.md	2026-09-20.md#c-flat-across-context
2026-09-20-d-the-real-pairing.md	2026-09-20.md#d-the-real-pairing
2026-09-20-e-two-tracks-one-lease.md	2026-09-20.md#e-two-tracks-one-lease
2026-09-20-f-the-flat-table.md	2026-09-20.md#f-the-flat-table
2026-09-20-g-the-saturation-verdict.md	2026-09-20.md#g-the-saturation-verdict
2026-09-20-h-three-tracks-one-window.md	2026-09-20.md#h-three-tracks-one-window
2026-09-20-i-the-blind-gate-and-the-diet.md	2026-09-20.md#i-the-blind-gate-and-the-diet
2026-09-20-j-the-lock-at-the-end-of-every-chunk.md	2026-09-20.md#j-the-lock-at-the-end-of-every-chunk
2026-09-20-k-the-main-thread-is-the-step.md	2026-09-20.md#k-the-main-thread-is-the-step
2026-09-21-a-the-skew-that-was-the-timer.md	2026-09-21.md#a-the-skew-that-was-the-timer
2026-09-21-b-the-line-was-not-the-default.md	2026-09-21.md#b-the-line-was-not-the-default
2026-09-21-c-the-bus-is-the-step.md	2026-09-21.md#c-the-bus-is-the-step
2026-09-21-d-the-headline-was-a-depth-zero-sentence.md	2026-09-21.md#d-the-headline-was-a-depth-zero-sentence
2026-09-21-e-the-split-cut-the-wrong-axis.md	2026-09-21.md#e-the-split-cut-the-wrong-axis
2026-09-21-f-the-layout-did-not-replace-the-hint.md	2026-09-21.md#f-the-layout-did-not-replace-the-hint
2026-09-21-g-the-accumulator-stayed-in-registers.md	2026-09-21.md#g-the-accumulator-stayed-in-registers
2026-09-21-h-the-trellis-bought-bytes-only.md	2026-09-21.md#h-the-trellis-bought-bytes-only
2026-09-21-i-the-first-token-came-out-at-0918.md	2026-09-21.md#i-the-first-token-came-out-at-0918
2026-09-21-j-the-blocked-command-went-around-846-times.md	2026-09-21.md#j-the-blocked-command-went-around-846-times
2026-09-21-k-the-guard-was-inside-the-loop.md	2026-09-21.md#k-the-guard-was-inside-the-loop
2026-09-21-l-the-tree-labelled-master-was-ik.md	2026-09-21.md#l-the-tree-labelled-master-was-ik
2026-09-21-m-the-biggest-kernel-had-no-guard.md	2026-09-21.md#m-the-biggest-kernel-had-no-guard
2026-09-21-n-one-node-cost-0-80-microseconds.md	2026-09-21.md#n-one-node-cost-0-80-microseconds
2026-09-21-o-the-duplicate-work-was-free.md	2026-09-21.md#o-the-duplicate-work-was-free
